SoftwareName;FQNClass;CollectionVariables;AddListenerMethod;RemoveListenerMethod;ClassDeclarationKeyword;MethodsDeclarationKeyword;ClassType;ScanCollectionsMethod;SCMCallsAbsMethod;HasSuperclass;ImplementsInterfaces;ChangeState;AfterChangeStateIterateOverList;Role
QuickUML2001;diagram.tool.AbstractTool.java;2;2;2;3;1;2;2;2;1;2;1;1;0
QuickUML2001;diagram.AbstractSelectionModel.java;2;2;2;3;1;2;2;2;1;2;1;1;0
JHotDraw v5.1;src\CH\ifa\draw\standard\AbstractFigure.java;1;2;2;3;1;2;1;1;1;2;2;2;0
JHotDraw v5.1;src\CH\ifa\draw\framework\Figure.java;1;1;1;3;1;3;1;1;2;1;1;1;0
JHotDraw v5.1;src\CH\ifa\draw\standard\AbstractHandle.java;1;1;1;3;3;2;1;1;1;2;1;1;0
JHotDraw v5.1;src\CH\ifa\draw\standard\ChangeConnectionHandle.java;1;1;1;3;3;2;1;1;2;1;2;1;0
JHotDraw60;org.jhotdraw.framework.DrawingView;1;2;2;2;1;3;1;1;2;1;1;1;0
JHotDraw60;org.jhotdraw.framework.Tool;1;2;2;3;1;3;1;1;1;1;1;1;0
JHotDraw60;org.jhotdraw.standard.AbstractFigure.java;2;2;2;3;1;2;1;1;1;2;2;1;0
JHotDraw60;org.jhotdraw.framework.Drawing.java;1;2;2;2;1;3;1;1;2;1;1;1;0
MapperXML197;com.taursys.swing.EnableListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.xml.event.ParameterListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.xml.event.RecycleListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.xml.event.RenderListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.xml.event.CloseFormListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.xml.event.InitContextListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.xml.event.OpenFormListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
QuickUML2001;diagram.tool.ToolListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
QuickUML2001;diagram.DiagramSelectionListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
QuickUML2001;diagram.DiagramModelListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
JRefactory2624;org.acm.seguin.uml.refactor.DialogViewListener.java;1;1;1;2;3;2;1;1;2;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\DrawingChangeListener.java;1;1;1;2;2;3;1;1;2;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\Drawing.java;1;1;1;2;2;3;1;1;2;1;1;1;1
JHotDraw60;org.jhotdraw.framework.FigureSelectionListener;1;1;1;2;2;3;1;1;1;1;1;1;1
JHotDraw60;org.jhotdraw.util.CommandListener;1;1;1;2;3;3;1;1;1;1;1;1;1
JHotDraw60;org.jhotdraw.framework.DrawingEditor.java;1;1;1;2;2;3;1;1;2;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\DrawingEditor.java;1;1;1;3;3;3;1;1;1;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\util\PaletteListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\Drawing.java;1;1;1;2;2;3;1;1;2;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\figures\EllipseFigure.java;1;1;1;3;3;1;1;1;2;1;2;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\ConnectionFigure.java;1;1;1;2;2;3;1;1;2;1;1;1;1
JHotDraw60;org.jhotdraw.framework.DrawingChangeListener;1;1;1;2;2;3;1;1;1;1;1;1;1
JHotDraw60;org.jhotdraw.framework.ViewChangeListener.java;1;1;1;2;2;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.swing.MComboBoxModel.java;2;2;2;3;1;1;2;2;2;2;2;2;2
QuickUML2001;diagram.DefaultSelectionModel.java;2;2;2;3;1;1;2;2;2;1;2;2;2
QuickUML2001;diagram.DefaultDiagramModel.java;2;2;2;3;1;1;2;2;2;2;2;2;2
JRefactory2624;org.acm.seguin.refactor.ComplexTransform.java;2;2;2;3;3;1;2;2;1;1;2;1;2
JHotDraw v5.1;src\CH\ifa\draw\standard\StandardDrawing.java;2;2;2;3;1;1;2;2;2;2;2;2;2
